CBSA,Population,Median Rent,YoY % Change,MoM % Change
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/florida/tampa-apartments/"">Tampa, FL</a>",3219514,2207.5,-0.652565257,2.364943195
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/michigan/detroit-apartments/"">Detroit, MI</a>",4365205,1619.75,-1.41509434,-0.353737312
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/north carolina/charlotte-apartments/"">Charlotte, NC</a>",2701046,1923.5,-2.3232195,0.733176224
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/ohio/cleveland-apartments/"">Cleveland, OH</a>",2075662,1471.25,-3.808434129,2.046124501
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/pennsylvania/pittsburgh-apartments/"">Pittsburgh, PA</a>",2353538,1800.75,-3.831775701,-1.906577693
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/kentucky/louisville/jefferson-county-apartments/"">Louisville/Jefferson County, KY</a>",1284566,1323.5,-3.937579387,-0.150886458
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/colorado/denver-apartments/"">Denver, CO</a>",2972566,2677,-4.290311048,1.057002643
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/nevada/las-vegas-apartments/"">Las Vegas, NV</a>",2292476,1666,-5.260164913,1.215066829
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/riverside-apartments/"">Riverside, CA</a>",4653105,2639.5,-5.757386414,-0.075714556
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/oregon/portland-apartments/"">Portland, OR</a>",2511612,2333,-5.889471561,1.722258557
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/tennessee/memphis-apartments/"">Memphis, TN</a>",1336103,1519.5,-6.08776267,3.051881994
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/texas/austin-apartments/"">Austin, TX</a>",2352426,1937.5,-7.891609223,1.879847509
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/north carolina/raleigh-apartments/"">Raleigh, NC</a>",1448411,1906.75,-8.329326923,2.27973716
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/texas/houston-apartments/"">Houston, TX</a>",7206841,1578,-8.388969521,-2.772643253
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/louisiana/new-orleans-apartments/"">New Orleans, LA</a>",1261726,1594.5,-10.99637176,-1.192873741
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/tennessee/nashville-apartments/"">Nashville, TN</a>",2012476,1903.5,-11.85459597,-0.73011734
